source,target
0,2223
0,1989
0,1471
0,4311
0,2211
0,1307
0,3826
0,4271
0,3335
1,2844
1,2830
1,2210
1,4113
1,4358
1,588
1,3904
1,1662
1,2081
1,790
1,1
1,265
1,13
1,3960
2,2927
2,3741
2,147
2,2054
2,4161
2,1954
2,3809
2,1343
2,339
2,1607
2,4963
2,3964
2,1674
2,4816
2,2690
2,3106
3,1467
3,2625
3,1919
3,3755
3,3711
3,3306
3,1041
3,1209
4,4255
4,3482
4,4056
4,1681
4,2572
4,3684
4,3553
5,4866
5,764
5,4858
5,4546
5,4396
5,4671
5,855
5,4747
5,1207
5,2466
5,3568
6,4499
6,1916
6,1607
6,3738
6,592
6,4192
6,1668
6,2258
7,3866
7,1312
7,4373
7,1297
7,336
7,1368
7,1809
8,4892
8,3814
8,3417
8,1211
8,686
8,4247
8,3872
8,2105
8,1126
8,642
8,416
8,1462
9,4138
9,4617
9,4612
9,4727
9,2588
9,3003
9,1536
9,183
9,996
9,3230
9,51
9,4177
9,1995
10,802
10,4801
10,1933
10,299
10,1711
10,2625
10,1126
10,1390
10,2782
11,4688
11,1368
11,690
11,349
11,11
11,3920
11,2394
11,1628
11,4719
11,1149
11,3006
12,2386
12,12
12,4782
12,2302
12,1410
12,2814
12,355
12,3625
13,888
13,3235
13,3904
13,1147
13,163
13,2210
13,2830
13,2081
13,1662
13,2995
14,657
14,4529
14,1512
14,2233
14,3726
14,30
14,1842
14,4411
14,429
15,342
15,4142
15,2288
15,1979
15,1545
15,15
15,1835
15,3725
15,4132
15,846
16,2267
16,1152
16,979
16,928
16,16
16,1031
16,2455
16,31
16,1914
17,4621
17,4835
17,2265
17,1045
17,3268
17,3714
17,657
17,4254
17,1196
17,3864
17,1986
18,2240
18,3083
18,2598
18,807
18,198
18,4613
18,2100
18,328
18,2802
19,626
19,3140
19,997
19,1800
19,2881
19,324
19,2378
19,2306
19,2947
19,4824
19,3016
20,2061
20,998
20,269
20,2869
20,26
20,4125
20,20
20,247
20,3535
20,535
20,806
20,42
20,4155
20,1673
21,2609
21,3802
21,351
21,1606
21,1803
21,3750
21,4896
21,2466
21,2717
22,3075
22,1299
22,847
22,794
22,1069
22,3376
22,1385
22,3875
22,917
22,471
22,248
22,2276
23,2816
23,1811
23,268
23,4523
23,1974
23,4520
23,540
23,1315
23,2941
23,638
23,2574
24,3500
24,3457
24,1023
24,1985
24,2475
24,1092
24,4118
24,4656
24,95
24,1766
24,4529
24,3014
25,2057
25,2452
25,2489
25,572
25,3538
25,1636
25,4746
25,1164
25,1721
26,138
26,2061
26,1427
26,535
26,998
26,247
27,3339
27,2322
27,1047
27,4782
27,4733
27,2411
27,1313
27,885
28,2435
28,4876
28,2885
28,3233
28,2950
28,1311
28,2092
28,945
28,1816
28,3489
29,294
29,1025
29,527
29,2676
29,1549
29,2592
29,577
29,596
29,3187
29,1262
29,1349
29,3915
30,2087
30,484
30,1216
30,3151
30,3760
30,1531
30,4695
30,2675
30,2990
30,3331
30,3314
30,1233
30,4271
30,225
30,65
30,2080
30,1044
30,164
30,4580
30,4381
30,3878
30,38
30,186
30,4285
30,935
30,3257
30,3179
30,845
30,3128
31,4378
31,2309
31,3468
31,979
31,4997
31,1784
31,2731
32,2899
32,3503
32,313
32,762
32,2213
32,36
32,388
32,3617
32,3554
33,2351
33,71
33,4406
33,189
33,89
33,1317
33,3881
33,178
33,1616
33,724
33,4975
33,985
34,545
34,581
34,92
34,2851
34,1573
34,2856
34,3892
34,4566
34,4086
34,3270
34,3659
34,3251
34,34
34,2644
34,3375
34,4241
34,963
35,3106
35,1459
35,1099
35,85
35,3037
35,374
35,3144
35,1113
35,4199
35,112
35,2429
35,444
35,807
36,2719
36,4438
36,602
36,3353
36,2127
36,762
36,1786
36,767
36,4763
37,2048
37,2593
37,2557
37,1733
37,3149
37,509
37,1097
37,3686
37,2519
37,1491
37,2777
37,2951
37,3995
37,4735
37,4197
37,1980
37,394
37,964
37,2437
37,3525
37,1475
37,2965
37,4087
37,1789
37,3469
37,919
37,470
37,2468
37,2684
37,1170
37,3505
37,4001
37,1932
37,151
37,1276
37,629
37,3277
37,3235
37,4820
37,3581
37,4570
37,4814
37,3050
37,1108
37,474
37,2094
37,1807
37,3868
37,2132
37,150
37,3129
37,485
37,4089
37,3219
37,2126
37,1560
37,4011
37,3851
37,4195
37,965
37,1831
37,1499
37,2507
37,3197
37,2400
37,4655
37,3283
37,974
37,1449
37,969
37,2683
37,143
37,4332
37,183
37,3611
37,230
37,3531
37,3648
37,4897
37,1699
37,2766
37,3470
37,4687
38,3331
38,230
38,1044
38,3760
38,2676
38,2367
38,65
38,4695
38,2976
38,4016
39,488
39,3722
39,4766
39,1445
39,1049
39,2034
39,39
39,4270
39,2897
39,1527
39,4914
40,4811
40,3565
40,4328
40,1744
40,2572
40,3860
40,849
40,3166
40,1739
40,2035
40,2810
41,3870
41,1277
41,3651
41,1236
41,41
41,64
41,2113
41,3320
42,3079
42,2910
42,1946
42,687
42,42
42,621
42,600
42,3933
42,321
42,3153
42,2900
42,4641
42,4241
42,4591
42,4562
42,4050
42,4913
42,840
42,2559
42,3891
42,1603
42,1853
42,2118
42,507
42,2842
42,3067
42,1850
42,3942
42,1376
42,1931
42,3979
42,3518
42,943
42,1463
42,2506
42,912
42,1389
42,4941
42,2441
42,837
42,4608
42,1520
42,4510
42,2860
42,1322
42,1015
42,925
42,44
42,1217
42,2863
42,1165
42,134
42,2128
42,1656
42,2899
42,2983
43,2557
43,932
43,4634
43,64
43,3762
43,4451
43,2605
43,3895
43,3427
44,4608
44,1463
44,943
44,1946
44,1853
44,1931
44,600
44,1454
44,2987
44,4241
44,837
44,4458
44,1647
45,3426
45,259
45,4126
45,2339
45,4397
45,2329
45,4379
45,2164
45,3395
45,2542
46,4384
46,4937
46,526
46,70
46,3764
46,3808
46,3410
46,3632
46,538
46,607
46,112
47,3893
47,1505
47,2050
47,404
47,682
47,2566
47,2051
47,4490
47,2430
47,588
48,3400
48,3102
48,4180
48,4142
48,3771
48,4071
48,2643
48,2949
48,2647
48,3663
48,3288
48,2477
48,2823
48,3672
48,3989
48,4502
48,983
48,4666
48,2489
49,2110
49,2070
49,1064
49,1844
49,3615
49,4715
49,800
49,335
49,1435
49,995
50,2286
50,4660
50,874
50,1524
50,4442
50,370
50,1242
50,226
50,3652
50,615
50,3747
50,170
50,2242
50,1425
50,2617
50,4772
50,1205
50,3573
50,3434
50,2042
51,1536
51,2444
51,4726
51,3059
51,4062
51,968
51,4350
51,4010
51,3308
51,2044
51,708
51,586
51,2996
51,996
51,3586
51,4586
51,4679
51,1187
51,4574
51,2500
51,4177
51,3160
51,1460
51,544
51,1965
51,3855
51,3003
51,1655
51,183
51,2779
51,2114
51,442
51,1664
51,3011
51,922
51,2758
51,2512
51,692
51,4812
51,1995
52,1552
52,1566
52,1296
52,4224
52,2814
52,2661
52,2660
52,873
52,885
52,1410
52,4782
52,4483
53,3412
53,4139
53,3729
53,4056
53,4067
53,4819
53,1647
53,1175
53,1818
53,360
53,3553
53,2019
53,1511
54,259
54,1019
54,2628
54,1101
54,3874
54,823
54,1875
54,4849
54,1022
54,2403
55,4696
55,2743
55,3602
55,2602
55,2512
55,2503
55,4066
55,4579
56,4401
56,1335
56,2725
56,3338
56,4588
56,309
56,2620
56,4696
56,432
57,2086
57,2348
57,3894
57,508
57,574
57,3058
57,250
57,1942
57,2204
57,1244
58,2085
58,1404
58,2749
58,805
58,2744
58,1303
58,1192
58,721
58,4330
58,2012
58,752
58,4219
59,1165
59,3623
59,1064
59,4423
59,4622
59,335
59,385
59,4755
59,3910
59,4697
59,1496
59,2943
59,4890
59,1896
59,3662
59,4911
59,1840
59,4021
60,1439
60,1800
60,767
60,3140
60,1061
60,60
60,997
60,2378
60,3469
60,3960
61,2741
61,613
61,3811
61,1252
61,61
61,2553
61,4887
61,975
61,3962
61,1714
61,1735
62,600
62,4115
62,1689
62,2067
62,520
62,3589
62,4277
62,670
62,2261
63,2336
63,2183
63,2821
63,3210
63,1291
63,4110
63,1834
63,4605
64,2570
64,1964
64,3895
64,3827
64,3427
65,4136
65,695
65,4279
65,4620
65,3257
65,3331
65,4898
65,3760
65,2080
65,164
65,4695
65,929
65,1044
65,3878
65,1233
65,3151
65,2976
65,935
65,4389
65,4889
65,1464
65,3780
65,2675
65,2344
65,2990
65,2367
65,4381
65,4553
65,4271
65,1770
65,4808
65,4048
65,3019
65,3952
65,3982
66,1739
66,1952
66,3611
66,1307
66,411
66,66
66,618
66,4332
67,1736
67,4509
67,386
67,1886
67,2174
67,3684
67,1647
67,1511
67,4080
68,4103
68,801
68,1627
68,2369
68,2192
68,3773
68,3610
68,100
68,3687
68,2208
68,1052
69,2358
69,4663
69,2619
69,3175
69,2672
69,2318
69,2891
69,1819
69,1925
69,4302
69,3901
69,4169
69,3183
69,1398
69,2443
69,2406
69,1374
69,3753
69,780
69,69
69,3758
69,4288
69,4674
69,4020
69,1671
69,4006
69,1863
69,1238
69,4174
69,3259
69,666
69,2800
69,2651
69,1938
69,1625
69,244
69,900
69,4833
69,4444
69,2895
69,623
69,2932
70,4864
70,3214
70,3609
70,538
70,3410
70,388
70,267
70,1476
70,4632
70,607
71,4849
71,1725
71,2641
71,104
71,466
71,872
71,4827
71,4840
72,1410
72,4750
72,4632
72,3096
72,1098
72,334
72,3311
72,908
72,220
72,4139
73,2863
73,1162
73,2583
73,4403
73,1080
74,3637
74,4671
74,1600
74,4866
74,1253
74,1241
74,855
74,3734
75,3672
75,516
75,4102
75,4130
75,3106
75,4236
75,4642
75,2429
75,414
75,4000
75,4043
76,460
76,76
76,732
76,2820
76,3828
76,2025
76,3267
76,3018
76,1411
76,1653
76,2687
76,1493
76,436
76,1157
76,3916
76,3431
76,2418
76,4015
76,639
76,2720
77,406
77,3221
77,3766
77,4018
77,3531
77,1835
77,4825
77,2269
77,2163
78,1690
78,1570
78,1068
78,1611
78,4826
78,2230
78,1405
79,4142
79,4071
79,3612
79,3672
79,4985
79,2033
79,3745
79,4492
79,4502
79,4030
79,3847
79,4832
79,2502
80,3900
80,519
80,4961
80,4833
80,4937
80,2492
80,2267
80,4362
80,3357
80,3438
80,2970
80,1021
80,1767
81,562
81,453
81,2481
81,4289
81,4651
81,1196
81,2250
81,720
81,931
81,4049
81,4569
82,4621
82,3143
82,1014
82,1045
82,3864
82,1986
82,4133
82,720
82,3999
82,657
82,1254
83,623
83,2291
83,3616
83,3649
83,1606
83,1766
84,2107
84,3452
84,1674
84,4721
84,4512
84,1916
84,4428
84,952
85,2012
85,1140
85,516
85,4130
85,3106
85,2600
85,4140
85,1113
85,650
85,4158
86,2276
86,1048
86,1961
86,2101
86,1709
86,86
86,2360
86,882
87,4361
87,4664
87,87
87,3216
87,701
88,1415
88,2948
88,803
88,2096
88,88
88,2863
88,2187
88,3171
88,3647
88,1509
88,2652
89,4805
89,3013
89,890
89,2517
89,372
89,3532
89,4045
89,4961
89,1989
89,258
89,3343
89,3357
89,1342
89,3906
89,1361
89,3438
89,2937
89,4031
90,4105
90,2662
90,891
90,3810
90,1979
90,1899
90,2420
91,4647
91,4142
91,3672
91,1722
91,892
91,459
91,2975
91,2137
91,3663
91,2963
91,3771
91,1448
91,681
91,3486
91,2647
91,2452
91,3187
91,3169
91,1898
91,2412
91,4502
91,1950
91,2720
91,2305
92,3892
92,2644
92,92
92,514
93,4656
93,95
93,4055
93,786
93,4047
93,588
93,114
93,3014
93,1676
94,4878
94,1057
94,1866
94,2180
94,4866
94,4191
94,4720
95,4118
95,1077
95,1081
95,2645
95,3490
95,4041
95,98
95,699
95,4028
95,1996
95,2475
95,1419
95,4131
95,3061
95,95
95,1985
95,4529
95,4593
95,1018
95,4482
95,3457
95,2140
95,3737
95,3202
95,906
95,4111
95,2039
95,2584
95,2467
95,2513
95,976
95,2480
95,4155
95,114
95,1766
95,2959
95,913
96,3094
96,318
96,2136
96,1617
96,135
96,4212
96,4609
96,797
96,4626
96,2078
96,3822
96,2866
96,2256
96,3952
96,3005
96,752
97,1567
97,2111
97,1001
97,4129
97,4353
97,866
97,1423
97,3187
97,2813
98,4217
98,946
98,906
98,1853
98,4529
98,3061
99,2561
99,4743
99,4615
99,3374
99,2607
99,1079
99,99
99,1005
99,2293
99,1542
99,1388
99,1308
99,3217
99,2528
99,4347
99,4863
99,2720
100,2032
100,3198
100,3231
100,2208
100,3880
100,2326
100,1644
100,4206
100,648
100,3239
100,3255
100,207
100,241
100,1832
100,3395
101,1802
101,112
101,236
101,2108
101,1002
101,4000
101,1377
101,115
101,4236
101,1698
101,374
101,4043
102,669
102,2607
102,741
102,2245
102,2275
102,576
102,3374
102,1542
102,3476
102,4863
103,3920
103,2896
103,2394
103,4561
103,4910
103,690
103,703
103,3628
104,4406
104,189
104,1725
104,2641
104,337
104,338
105,1057
105,3337
105,4248
105,2537
105,802
105,4200
105,2681
105,898
105,1669
106,2619
106,3997
106,1705
106,3228
106,1925
106,4813
106,1398
106,2443
106,3175
106,3810
106,623
106,3758
106,2507
106,3118
106,125
107,2811
107,782
107,2702
107,3731
107,2708
107,1200
107,4282
107,1218
107,3299
107,1652
108,4360
108,310
108,3150
108,845
108,4441
108,1644
108,1915
108,4601
109,1542
109,4743
109,3374
109,2607
109,2275
109,4968
109,1388
109,4863
110,4500
110,795
110,185
110,4413
110,1486
110,2273
110,685
111,1047
111,136
111,3394
111,3931
111,2401
111,1665
111,1456
111,201
111,492
111,2528
111,2670
111,3192
111,1144
111,1185
111,3813
112,2301
112,4130
112,4895
112,115
112,3504
112,4140
112,556
112,3124
112,932
112,1459
112,444
112,4043
113,3587
113,2062
113,1618
113,1196
113,4572
113,4034
114,2467
114,3014
114,1180
114,1077
114,4028
114,2311
114,1604
114,1996
114,4445
114,1766
114,4055
115,2122
115,556
115,3323
115,4725
116,3590
116,1501
116,1645
116,3724
116,1727
116,3005
117,1658
117,4613
117,1810
117,807
117,2802
118,525
118,4091
118,188
118,4585
118,2642
118,118
118,1402
118,2319
118,4942
118,1273
118,254
119,3615
119,4643
119,1589
119,187
119,4972
119,698
119,3777
119,2255
119,2791
119,2308
119,1386
119,3240
120,4400
120,2569
120,2341
120,2660
120,1296
120,1313
120,1628
120,2812
120,2814
121,2046
121,4614
121,3897
121,2589
121,2532
121,1715
122,4331
122,4495
122,281
122,252
122,3832
122,677
122,1839
123,3717
123,2181
123,2669
123,735
123,4476
123,2483
123,3956
123,2429
124,1025
124,577
124,4157
124,4176
124,511
124,1159
124,176
124,3459
124,1247
125,3636
125,2919
125,3443
125,4214
125,3860
125,3812
125,1676
126,3682
126,4902
126,2726
126,1612
126,675
126,3265
126,4264
126,738
126,2277
126,1394
127,517
127,2573
127,1075
127,4687
127,616
127,1609
127,4447
127,637
127,2337
127,127
127,2974
128,1025
128,3187
128,2133
128,1221
128,2289
128,3294
129,1539
129,4702
129,734
129,129
129,821
129,3395
129,3008
130,1297
130,1057
130,1369
130,3668
130,1197
130,3811
130,3970
130,1956
131,131
131,3552
131,218
131,377
131,2733
131,3526
131,1315
131,1325
132,4870
132,2789
132,3195
132,3161
132,1903
132,2527
132,4733
132,270
132,1613
132,3297
133,4355
133,4069
133,1032
133,989
133,1648
133,2505
133,499
133,1538
133,3723
133,1713
133,342
133,4502
133,407
134,1149
134,2896
134,867
134,2394
134,540
134,690
134,186
134,1004
134,3831
134,3264
135,1617
135,4212
135,4609
135,570
135,209
135,4336
136,2517
136,1025
136,4129
136,1583
136,577
136,2955
136,2133
136,4652
136,833
137,2343
137,2159
137,1536
137,544
137,4684
137,3172
137,2755
137,4829
137,4350
137,1460
138,4125
138,3352
138,1037
138,1303
138,806
138,4611
138,2061
138,2869
138,1317
138,1944
139,3385
139,4286
139,3241
139,1400
139,575
139,2371
139,148
139,3068
139,753
139,2840
139,3038
140,1984
140,2309
140,4997
140,3509
140,1190
140,4137
140,2455
140,1784
140,717
141,3175
141,554
141,2129
141,2986
141,521
141,1986
142,4177
142,1025
142,2587
142,3187
142,3207
142,2988
142,3994
142,2831
143,3141
143,3146
143,610
143,1892
143,3177
143,2712
143,3291
143,3384
143,2485
143,4320
144,4355
144,3463
144,4069
144,499
144,2343
144,342
144,1648
145,1628
145,692
145,2161
145,186
145,4008
145,3810
145,3262
145,2394
145,3920
145,1685
145,1070
145,1687
146,1126
146,1919
146,3683
146,4473
146,3479
146,1680
146,2311
146,3755
146,1462
147,4161
147,1607
147,4784
147,3810
147,4816
147,4058
147,2278
147,926
148,2048
148,4365
148,148
148,592
148,3241
148,575
148,4040
148,4565
149,3592
149,2202
149,1805
149,3350
149,3742
149,4470
149,4739
149,2928
149,244
149,1857
149,381
149,944
149,1458
150,2100
150,1932
150,2683
150,4603
150,4814
150,2400
150,710
150,941
151,2100
151,2557
151,4093
151,1664
151,3868
151,3469
151,1499
152,3827
152,3849
152,1842
152,319
152,4292
152,3245
152,152
152,2233
152,3057
152,500
152,2352
152,3452
152,1257
152,2268
152,688
152,1017
152,1472
152,1693
152,4411
152,169
152,2690
152,3024
153,1446
153,4732
153,3345
153,153
153,2325
153,3101
153,4262
153,1337
153,3004
153,3860
154,2888
154,4696
154,2945
154,2153
154,3732
154,665
154,811
154,3225
154,4443
154,997
154,2724
154,2725
154,4877
154,323
154,1877
154,875
154,4987
154,3984
154,3500
154,3609
155,574
155,256
155,155
155,1580
155,742
156,3636
156,2659
156,4736
156,1239
156,4792
156,1228
156,4254
156,4548
157,905
157,525
157,4673
157,2642
157,1402
157,1578
157,1634
157,3712
157,1968
157,2514
158,1545
158,2348
158,3894
158,3131
158,661
158,2204
158,1244
159,1243
159,887
159,1767
159,1824
159,3572
159,159
159,4143
159,496
159,2666
159,3437
159,4807
159,3415
159,4764
159,4993
159,2244
160,4135
160,4712
160,3489
160,1598
160,382
160,4815
160,312
160,1861
161,2901
161,3740
161,4765
161,1700
161,604
161,434
161,2982
161,1711
161,4595
162,4365
162,541
162,3944
162,3241
162,4286
162,2591
162,575
162,3038
163,408
163,1147
163,163
164,1044
164,4889
164,2367
164,4695
164,3257
164,901
165,4718
165,1439
165,2327
165,2472
165,2349
165,2638
165,2170
165,3457
166,795
166,1282
166,1030
166,3212
166,1246
166,3318
166,903
166,1851
166,3769
166,1148
167,3927
167,854
167,4870
167,4781
167,3961
167,1439
167,3806
167,2751
167,2770
167,4882
167,1869
167,1417
167,4270
167,293
168,4610
168,4098
168,4886
168,1186
168,352
168,3497
168,451
169,792
169,4150
169,1354
169,1661
169,2710
169,4511
169,3130
169,1084
169,1771
169,4989
169,322
169,1353
169,4182
169,169
169,1867
169,1210
169,4295
169,3282
169,4175
169,1446
169,345
169,1598
169,244
170,3747
170,2242
170,2617
170,691
170,4772
170,2466
170,3128
170,1219
170,226
170,893
171,2200
171,670
171,3748
171,3579
171,573
171,1003
171,2544
171,1217
171,1667
171,2261
171,921
171,2483
171,4076
172,859
172,4783
172,285
172,3206
172,4232
172,4036
173,4105
173,1368
173,2692
173,867
173,772
173,186
173,1092
174,514
174,525
174,1634
174,1642
174,3842
174,2822
175,1414
175,2440
