source,target
0,387
0,383
0,111
0,214
0,481
0,464
0,125
0,82
0,342
0,389
1,429
1,211
1,448
1,153
1,431
1,162
1,468
1,365
1,443
1,196
1,354
1,494
2,469
2,362
2,91
2,239
2,251
2,44
2,60
2,42
2,221
2,355
2,118
3,43
3,197
3,295
3,81
3,175
3,462
3,321
3,101
3,39
3,427
3,56
3,457
3,209
4,202
4,230
4,290
4,190
4,459
4,146
4,171
4,47
4,159
4,246
4,364
4,410
4,438
4,467
5,180
5,233
5,176
5,322
5,231
5,331
5,150
5,340
5,345
5,498
6,257
6,6
6,333
6,229
6,40
6,361
6,293
6,31
6,161
6,160
6,460
6,338
6,35
7,257
7,248
7,31
7,486
7,160
7,7
7,201
7,205
7,333
7,225
7,230
7,79
8,152
8,78
8,200
8,270
8,471
8,402
8,143
8,154
8,146
8,10
8,103
8,220
8,283
8,326
8,375
9,104
9,9
9,351
9,99
9,83
9,120
9,141
9,142
9,363
9,375
9,407
9,471
10,179
10,220
10,274
10,490
10,411
10,71
10,291
10,471
10,146
10,290
11,256
11,116
11,403
11,465
11,184
11,36
11,44
12,131
12,58
12,61
12,157
12,15
12,59
12,64
12,482
12,139
12,411
12,13
12,210
12,70
12,52
12,12
12,148
12,35
12,234
12,467
12,376
12,406
12,385
13,139
13,234
13,157
13,210
13,15
13,58
13,148
13,82
13,61
14,441
14,55
14,57
14,447
14,408
14,206
14,14
14,324
14,329
14,208
14,437
14,346
15,131
15,139
15,482
15,52
15,70
15,424
15,148
15,199
15,279
15,300
16,55
16,434
16,206
16,346
16,33
16,102
16,304
16,198
16,329
16,330
17,273
17,241
17,288
17,155
17,307
17,177
17,436
17,260
17,416
17,390
17,318
17,373
17,298
17,243
17,499
17,474
17,135
17,381
17,315
17,48
17,348
17,187
17,495
17,30
17,277
17,67
17,316
17,309
17,112
17,193
17,286
17,293
17,101
17,226
17,58
17,53
17,310
17,212
18,385
18,467
18,264
18,178
18,182
18,135
18,279
18,168
18,303
18,49
18,53
18,76
19,384
19,32
19,287
19,262
19,124
19,252
19,127
19,238
19,22
19,492
19,139
19,398
20,250
20,185
20,45
20,360
20,258
20,133
20,170
20,409
20,377
20,178
20,46
20,75
21,225
21,370
21,230
21,105
21,90
21,361
21,201
21,337
21,160
21,460
21,205
21,248
21,367
22,369
22,60
22,202
22,22
22,287
22,492
22,48
22,467
23,29
23,23
23,28
23,458
23,366
23,325
23,450
23,191
